uvkey,aqi
"(467698001, 364533187, 0)",1.931
"(730792273, 730792270, 0)",1.893
"(730792273, 730792274, 0)",1.815
"(730792273, 1535160101, 0)",1.828
"(730792275, 34164025, 0)",1.854
"(730792275, 730792274, 0)",1.88
"(730792275, 478501341, 0)",1.854
"(730792275, 478498130, 0)",1.828
"(730792272, 730792271, 0)",1.854
"(730792272, 478498193, 0)",1.849
"(730792272, 731146854, 0)",1.829
"(730792274, 730792273, 0)",1.815
"(730792274, 730792275, 0)",1.88
"(730792274, 34164024, 0)",1.88
"(730792274, 602162438, 0)",1.88
"(469631321, 469631322, 0)",1.88
"(469631321, 34093811, 0)",1.944
"(469631321, 899317138, 0)",1.88
"(469631321, 287425046, 0)",1.905
"(469631322, 469631321, 0)",1.88
"(469631322, 2435147723, 0)",1.828
"(469631322, 2435147724, 0)",1.893
"(339312990, 289732352, 0)",2.009
"(339312993, 322650294, 0)",1.88
"(339312994, 371202284, 0)",1.867
"(339312994, 371202290, 0)",1.867
"(339312994, 4575441969, 0)",1.867
"(34177378, 462516665, 0)",1.828
"(34177378, 462516656, 0)",1.828
"(34177378, 364644610, 0)",1.828
"(34177377, 34177054, 0)",1.828
"(34177377, 462516656, 0)",1.828
"(34177377, 491777810, 0)",1.828
"(442073452, 442073456, 0)",1.918
"(442073452, 663950126, 0)",1.907
"(442073452, 262954748, 0)",1.918
"(2825978221, 2824277119, 0)",1.88
"(2825978221, 536747281, 0)",1.88
"(2825978221, 2824277122, 0)",1.893
"(2825978222, 316862411, 0)",1.88
"(2825978222, 316862412, 0)",1.88
"(2825978222, 2825978225, 0)",1.893
"(442073454, 289117216, 0)",1.88
"(442073454, 442073456, 0)",1.944
"(442073454, 76468507, 0)",1.944
"(442073456, 442073452, 0)",1.918
"(442073456, 442073454, 0)",1.944
"(442073456, 161500710, 0)",1.931
"(442073456, 262954748, 0)",1.918
"(2825978225, 2825978222, 0)",1.893
"(2825978227, 2825978234, 0)",1.88
"(2825978228, 316862412, 0)",1.893
"(2825978228, 663950140, 0)",1.88
"(2825978228, 2825978234, 0)",1.893
"(2825978234, 2825978227, 0)",1.88
"(2825978234, 2825978228, 0)",1.893
"(2825978234, 2825978240, 0)",1.88
"(367034747, 567029410, 0)",1.854
"(367034747, 34728007, 0)",1.867
"(367034747, 413670240, 0)",1.854
"(2825978239, 4599573301, 0)",1.88
"(2825978240, 2825978234, 0)",1.88
"(2825978240, 388283999, 0)",1.88
"(2825978240, 2825978244, 0)",1.88
"(609452416, 6207465615, 0)",1.842
"(2825978244, 2825978240, 0)",1.88
"(2825978244, 287588368, 0)",1.88
"(2825978244, 388283999, 0)",1.88
"(1011876248, 313939807, 0)",1.841
"(1011876248, 309349614, 0)",1.815
"(1011876248, 898911705, 0)",1.802
"(1305543074, 287425099, 0)",2.074
"(35652012, 35652013, 0)",1.893
"(35652012, 745493012, 0)",1.957
"(35652012, 392270086, 0)",1.893
"(35652013, 35652012, 0)",1.893
"(35652013, 287425099, 0)",1.957
"(35652013, 3001211671, 0)",1.944
"(35652019, 678472944, 0)",1.854
"(35652019, 392270075, 0)",1.893
"(35652019, 3001211686, 0)",1.893
"(5631017399, 283449679, 0)",1.905
"(5631017399, 974624771, 0)",1.905
"(5631017399, 6030805470, 0)",1.931
"(35652026, 302362600, 0)",1.828
"(35652026, 35653468, 0)",1.841
"(35652026, 35652028, 0)",1.88
"(35652026, 392270080, 0)",1.893
