id_ig,aqi
477,1.91
478,1.92
479,1.85
480,1.86
481,1.85
482,1.87
483,1.97
484,1.93
485,1.86
486,1.86
487,1.86
488,1.86
489,1.86
490,1.88
491,1.88
492,1.87
493,1.87
494,1.89
495,1.9
496,1.87
497,1.88
498,1.86
499,1.88
500,1.86
501,1.85
502,1.85
503,1.86
504,1.85
505,1.87
506,1.87
507,1.87
508,1.89
509,1.89
510,1.88
511,1.87
512,1.87
513,1.89
514,1.9
515,1.9
516,1.87
517,1.87
518,1.88
519,1.88
520,1.88
521,1.87
522,1.89
523,1.87
524,1.88
525,1.88
526,1.85
527,1.87
528,1.85
529,1.87
530,1.89
531,2.0
532,1.87
533,1.89
534,1.86
535,1.86
536,1.86
537,1.85
538,1.85
539,1.89
540,2.0
541,1.89
542,1.97
543,2.08
544,2.08
545,1.88
546,1.86
547,1.88
548,1.91
549,1.88
550,1.93
551,1.88
552,2.04
553,1.85
554,2.04
555,1.87
556,1.87
557,1.9
558,1.9
559,1.9
560,1.9
561,1.92
562,1.89
563,1.87
564,1.87
565,1.87
566,1.0
567,1.0
568,1.86
569,1.86
570,1.86
571,1.87
572,1.86
573,1.86
574,1.87
575,1.87
576,1.88
577,1.87
578,1.87
579,1.88
580,2.0
581,1.84
582,1.84
583,1.88
584,1.88
585,1.98
586,1.97
587,1.88
588,1.97
589,1.95
590,1.96
591,1.92
592,1.85
593,1.87
594,1.87
595,1.87
596,1.9
597,1.0
598,1.0
599,1.89
600,1.89
601,1.89
602,1.89
603,1.9
604,1.9
605,1.94
606,1.94
607,1.94
608,1.94
609,1.91
610,1.91
611,1.91
612,1.91
613,1.9
614,1.9
615,1.9
616,1.9
617,1.88
618,1.9
619,1.87
620,1.87
621,1.87
622,1.86
623,1.86
624,1.87
625,1.86
626,1.0
627,1.0
628,1.0
629,1.0
630,1.0
631,1.89
632,1.86
633,1.89
634,1.86
635,1.89
636,1.86
637,1.86
638,1.89
639,1.9
640,1.9
641,1.0
642,1.0
643,1.0
644,1.86
645,1.86
646,1.86
647,1.9
648,1.9
649,1.9
650,1.86
651,1.9
652,1.86
653,1.9
654,1.9
655,1.86
656,1.86
657,1.94
658,1.97
659,1.86
660,1.98
661,1.86
662,1.88
663,2.0
664,1.97
665,1.97
666,1.95
667,1.88
668,1.88
669,1.88
670,1.87
671,1.9
672,1.9
673,1.92
674,1.95
675,1.89
676,1.87
677,1.86
678,1.87
679,1.87
680,1.87
681,1.96
682,1.86
683,1.87
684,2.01
685,1.86
686,2.01
687,1.86
688,1.0
689,1.86
690,1.87
691,1.9
692,1.89
693,1.89
694,1.89
695,1.93
696,1.9
697,1.89
698,1.89
699,1.89
700,1.89
701,1.9
702,1.0
703,1.94
704,1.94
705,1.91
706,1.91
707,1.91
708,1.91
709,1.97
710,1.86
711,1.86
712,1.86
713,1.89
714,1.95
715,1.9
716,1.86
717,1.86
718,1.86
719,1.87
720,1.89
721,1.86
722,1.89
723,1.88
724,1.97
725,1.86
726,1.87
727,1.0
728,1.89
729,1.93
730,1.93
731,1.94
732,1.94
733,1.97
734,1.85
735,1.97
736,1.96
737,1.97
738,1.89
739,1.98
740,1.86
741,1.95
742,1.95
743,1.97
744,1.97
745,1.97
746,1.9
747,1.88
748,1.92
749,1.94
750,1.88
751,1.88
752,1.0
753,1.88
754,1.89
755,1.86
756,1.86
757,1.87
758,1.87
759,1.86
760,1.86
761,1.0
762,1.0
763,1.87
764,1.87
765,1.87
766,1.87
767,1.88
768,1.88
769,1.87
770,1.87
771,1.99
772,1.9
773,1.88
774,1.87
775,1.9
776,1.9
777,1.88
778,1.91
779,1.89
780,1.89
781,1.88
782,1.87
783,1.89
784,1.89
785,1.9
786,1.85
787,1.85
788,1.86
789,1.88
790,1.9
791,1.94
792,1.91
793,1.88
794,1.91
795,1.89
796,1.93
797,1.93
798,1.89
799,1.89
800,1.86
801,1.86
802,1.86
803,1.89
804,1.86
805,1.87
806,1.86
807,1.86
808,1.86
809,1.87
810,1.87
811,1.87
812,1.87
813,1.87
814,1.87
815,1.87
816,1.87
817,1.87
818,1.87
819,1.87
820,1.86
821,1.89
822,1.86
823,1.86
824,1.86
825,1.86
826,1.93
827,1.0
828,1.93
829,1.0
830,1.9
831,1.9
832,1.89
833,1.89
834,1.88
835,1.88
836,1.88
837,1.94
838,1.92
839,1.97
840,1.93
841,1.87
842,1.88
843,1.95
844,1.88
845,1.91
846,1.85
847,1.86
848,1.85
849,1.86
850,1.86
851,1.86
852,1.9
853,1.86
854,1.98
855,1.0
856,1.88
857,1.85
858,1.89
859,1.9
860,1.95
861,1.86
862,1.0
863,1.86
864,1.87
865,1.88
866,1.88
867,1.88
868,1.88
869,1.87
870,1.87
871,1.87
872,1.87
873,1.85
874,1.85
875,1.87
876,1.87
877,1.93
878,1.89
879,1.0
880,1.91
881,1.91
882,1.91
883,1.93
884,1.86
885,1.86
886,1.88
887,1.88
888,1.87
889,1.87
890,1.88
891,1.88
892,1.89
893,1.91
894,1.88
895,1.91
896,1.87
897,1.86
898,1.96
899,1.86
900,2.08
901,2.02
902,2.02
903,2.08
904,1.98
905,1.89
906,1.89
907,1.96
908,1.87
909,1.87
910,1.97
911,1.89
912,1.87
913,1.87
914,1.87
915,1.87
916,1.86
917,1.86
918,1.91
919,1.91
920,1.85
921,1.85
922,1.86
923,1.85
924,1.86
925,1.85
926,1.89
927,1.87
928,2.03
929,1.9
930,2.1
931,1.91
932,1.92
933,1.92
934,1.87
935,1.9
936,1.89
937,1.88
938,1.87
939,1.87
940,1.87
941,1.97
942,1.0
943,1.87
944,1.88
945,1.88
946,1.88
947,1.87
948,1.94
949,1.93
950,1.95
951,1.94
952,1.94
953,1.89
954,1.0
955,1.93
956,2.03
957,2.1
958,1.88
959,1.96
960,1.85
961,1.98
962,1.0
963,2.09
964,2.09
965,1.0
966,1.87
967,1.87
968,1.93
969,1.85
970,1.86
971,1.86
972,1.86
973,1.86
974,1.86
975,1.86
976,1.0
977,1.88
978,1.88
979,1.88
980,1.86
981,1.94
982,1.87
983,1.88
984,1.89
985,1.88
986,1.89
987,1.87
988,1.88
989,1.88
990,1.87
991,1.87
992,1.87
993,1.87
994,1.87
995,1.88
996,1.88
997,1.87
998,1.87
999,1.87
1000,1.87
1001,1.87
1002,1.86
1003,1.86
1004,1.86
1005,1.86
1006,1.86
1007,1.86
1008,1.86
1009,1.86
1010,1.86
1011,1.9
1012,1.86
1013,1.91
1014,1.94
1018,1.88
1019,2.04
1026,1.87
1027,1.89
1028,1.95
1029,1.0
1030,1.9
1031,1.94
1032,1.93
1033,1.9
1034,1.91
1035,1.87
1036,1.84
1037,1.86
1038,1.88
1039,1.91
1040,1.91
1041,1.86
1042,1.86
1043,1.0
1044,1.0
1045,1.0
1046,1.87
1047,1.87
1048,1.87
1049,1.98
1050,1.98
1051,1.98
1052,1.98
1053,1.94
1054,1.94
1055,1.86
1056,1.85
1057,1.0
1058,1.95
1059,1.9
1060,1.88
1061,1.85
1062,1.84
1063,1.84
1064,1.86
1065,1.9
1066,1.86
1067,1.86
1068,1.86
1069,1.86
1070,1.86
1071,1.89
1072,1.86
1073,1.85
1074,1.85
1075,1.9
1076,1.88
1077,1.87
1078,1.86
1079,1.86
1080,1.88
1081,1.91
1082,1.86
1083,1.86
1084,1.88
1085,1.87
1086,1.9
1087,1.89
1088,1.9
1089,1.89
1090,1.89
1091,1.9
1092,1.89
1093,1.87
1094,1.87
1095,1.88
1096,1.88
1097,1.9
1098,1.89
1099,1.89
1100,1.89
1101,1.0
1102,1.89
1103,1.9
1104,1.87
1105,1.89
1106,1.89
1107,1.89
1108,1.89
1109,1.89
1110,1.89
1111,1.87
1112,1.86
1113,1.9
1114,1.9
1115,1.91
1116,1.91
1117,1.88
1118,1.89
1119,1.89
1120,1.88
1121,1.85
1122,1.93
1123,1.92
1124,1.91
1125,1.88
1126,1.88
1127,1.88
1128,1.9
1129,1.94
1130,1.96
1131,1.89
1132,1.88
1133,1.86
1134,1.87
1135,1.86
1136,1.87
1137,1.87
1138,1.0
1139,1.91
1140,1.88
1141,1.87
1142,1.86
1143,1.87
1144,1.87
1145,1.86
1146,1.88
1147,1.88
1148,1.88
1149,1.96
1150,1.96
1151,1.95
1152,1.95
1153,1.95
1154,1.95
1155,1.95
1156,1.95
1157,1.88
1158,1.97
1159,1.97
1160,1.98
1161,1.9
1162,1.0
1163,1.87
1164,1.87
1165,1.92
1166,1.85
1167,1.88
1168,1.86
1169,1.87
1170,1.87
1171,1.87
1172,1.87
1173,1.87
1174,1.87
1175,1.88
1176,1.87
1177,1.97
1178,1.87
1179,1.86
1180,1.87
1181,1.87
1182,1.87
1183,1.87
1184,1.89
1185,1.88
1186,1.89
1187,1.88
1188,1.87
1189,1.88
1190,1.88
1191,1.88
1192,1.88
1193,1.88
1194,1.87
1195,1.87
1196,1.87
1197,1.87
1198,1.88
1199,1.85
1200,1.89
1201,1.89
1202,1.97
1203,2.08
1204,2.08
1205,2.08
1206,1.94
1207,2.08
1208,1.86
1209,1.88
1210,1.88
1211,1.86
1212,1.9
1213,1.85
1214,1.91
1215,1.92
