;id_otp;name_otp;node_orig_id;node_dest_id;length;edge_class;street_class;is_stairs;is_no_thru_traffic;permission;allows_walking;allows_biking;traversable_walking;traversable_biking;bike_safety_factor;geometry
1134972;94892;path;57588;57908;4.083;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9654206 60.2038998, 24.9653467 60.2038994)
1135061;961710;bike path;46123;413454;2.8930000000000002;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9687607 60.20889750000001, 24.9687102 60.2089044)
1135066;1747925;;245633;520049;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1135095;860599;Vallinkoskentie;385833;368161;64.44;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.18;LINESTRING (24.9579882 60.2104128, 24.958279 60.210321, 24.9589673 60.21009780000001)
1135130;1747921;;245637;520047;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1135262;660055;parking aisle;322276;241633;11.445;StreetEdge;5.0;False;False;ALL;True;True;True;True;1.8333332999999998;LINESTRING (24.9700355 60.2187448, 24.970046 60.218642)
1135474;860720;Vallinkoskentie;385862;368157;35.33;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9638431 60.2081294, 24.963504 60.208232, 24.9633168 60.2083086)
1135499;1745611;P+R (exit);518768;442384;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1135566;990524;service road;322275;242131;5.917999999999999;StreetEdge;5.0;False;False;ALL;True;True;True;True;1.8333332999999998;LINESTRING (24.9702246 60.2168664, 24.9701658 60.2169109)
1135630;1745613;P+R (exit);518768;442691;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1135716;860748;service road;385869;368155;9.006;StreetEdge;5.0;False;False;ALL;True;True;True;True;2.1633332000000003;LINESTRING (24.963751 60.20382900000001, 24.9636992 60.2037522)
1135760;478913;path;119153;247901;15.415;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9606084 60.2151538, 24.960571 60.215116, 24.960436 60.215117, 24.9603812 60.2151063)
1135894;1670342;open area;383298;448418;19.782;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.4999999;LINESTRING (24.9642669 60.2064536, 24.9643561 60.2062813)
1136033;1686661;open area;448845;513902;46.20399999999999;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.4999999;LINESTRING (24.9624956 60.2055003, 24.9627912 60.2051116)
1136043;1748404;;520239;397847;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136054;1746586;;519509;420467;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136077;1686649;open area;448845;513893;31.739;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.4999999;LINESTRING (24.9624956 60.2055003, 24.9628787 60.20528760000001)
1136078;1686651;open area;448845;513894;31.816;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.4999999;LINESTRING (24.9624956 60.2055003, 24.9628633 60.2052801)
1136083;1686578;open area;448845;513892;1.173;AreaEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.4999999;LINESTRING (24.9624956 60.2055003, 24.9624762 60.205496)
1136092;1746582;;519507;420470;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136106;1154314;Hämeentie;122269;151952;36.884;StreetEdge;3.0;False;False;PEDESTRIAN;True;False;True;False;2.5;LINESTRING (24.9655741 60.20314130000001, 24.965727 60.203132, 24.965925 60.203122, 24.9662387 60.2031114)
1136140;1747738;;519973;406402;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136191;1747734;;519971;406392;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136244;1748412;;520243;397851;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136275;639532;path;190118;146067;5.309;StreetEdge;4.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;4.1666665;LINESTRING (24.9594978 60.2125831, 24.9595849 60.2126033)
1136357;1747748;;519977;406403;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136408;1747744;;519975;406390;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136653;1748480;;520269;397852;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136704;1748472;;520265;397867;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136821;797837;Onnentie;194689;5365;22.506999999999998;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6333333;LINESTRING (24.9566564 60.21813400000001, 24.9568541 60.21795700000001)
1136863;1748758;;520379;395076;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136894;1748752;;520377;395080;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136933;1748748;;520375;395072;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1136943;505105;Hämeentie;261444;33436;12.51;StreetEdge;3.0;False;False;PEDESTRIAN;True;False;True;False;2.5;LINESTRING (24.9728635 60.206081, 24.9729751 60.2061789)
1137028;667072;Väinölänkuja;324778;167477;4.928999999999999;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6333333;LINESTRING (24.9573441 60.2147399, 24.9574331 60.2147366)
1137098;1748762;;520381;395079;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1137105;1748108;;520121;403125;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1137152;1156601;Koskelantie;187066;242395;16.369;StreetEdge;3.0;False;False;PEDESTRIAN_AND_CAR;True;False;True;False;2.5;LINESTRING (24.9797891 60.21694590000001, 24.9795031 60.2169845)
1137165;1745434;P+R (exit);518540;452525;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
