;id_otp;name_otp;vertex_class;traversable_walking;traversable_biking;label;traffic_light;free_flowing;x;y;geometry
349651;368245;osm:node:34176344;OsmVertex;True;True;osm:node:34176344;False;False;24.976446499999998;60.213317;POINT (24.9764465 60.213317)
349652;368250;osm:node:34176343;OsmVertex;True;True;osm:node:34176343;False;False;24.9762614;60.2132902;POINT (24.976261400000002 60.2132902)
349653;160788;osm:node:34176341;OsmVertex;True;True;osm:node:34176341;False;False;24.9761907;60.21304430000001;POINT (24.9761907 60.21304430000001)
349656;90560;osm:node:34176345;OsmVertex;True;True;osm:node:34176345;False;False;24.9766651;60.21371480000001;POINT (24.9766651 60.213714800000005)
349659;270002;osm:node:602763305;OsmVertex;True;True;osm:node:602763305;False;False;24.9755195;60.2035473;POINT (24.9755195 60.203547300000004)
349679;420467;osm:node:4818183522:level:default level;OsmVertex;True;True;osm:node:4818183522:level:default level;False;False;24.8767156;60.1589625;POINT (24.8767156 60.1589625)
349697;236893;osm:node:3224504575;OsmVertex;True;True;osm:node:3224504575;False;False;24.979542;60.21164930000001;POINT (24.979542000000002 60.211649300000005)
349699;236911;osm:node:3224504578;OsmVertex;True;True;osm:node:3224504578;False;False;24.979101699999998;60.21173220000001;POINT (24.9791017 60.21173220000001)
349701;236897;osm:node:3224504572;OsmVertex;True;True;osm:node:3224504572;False;False;24.980456;60.2116015;POINT (24.980456 60.2116015)
349702;236882;osm:node:3224504571;OsmVertex;True;True;osm:node:3224504571;False;False;24.981192999999998;60.21160130000001;POINT (24.981193 60.211601300000005)
349703;236880;osm:node:3224504570;OsmVertex;True;True;osm:node:3224504570;False;False;24.980991000000003;60.21160130000001;POINT (24.980991000000003 60.211601300000005)
349716;195900;osm:node:3224504562;OsmVertex;True;True;osm:node:3224504562;False;False;24.9802187;60.211553599999995;POINT (24.9802187 60.2115536)
349717;236885;osm:node:3224504569;OsmVertex;True;True;osm:node:3224504569;False;False;24.9801365;60.2116;POINT (24.9801365 60.211600000000004)
349719;236883;osm:node:3224504568;OsmVertex;True;True;osm:node:3224504568;False;False;24.979975399999997;60.2115991;POINT (24.9799754 60.2115991)
349783;25593;osm:node:551628114;OsmVertex;True;True;osm:node:551628114;False;False;24.9743147;60.205122499999995;POINT (24.9743147 60.2051225)
350257;464464;osm:node:4575281558:level:-3;OsmVertex;True;True;osm:node:4575281558:level:-3;False;False;24.957915600000003;60.3052319;POINT (24.957915600000003 60.3052319)
350258;280924;osm:node:4575281558:level:-2;OsmVertex;True;True;osm:node:4575281558:level:-2;False;False;24.957915600000003;60.3052319;POINT (24.957915600000003 60.3052319)
350353;519753;default level;ElevatorOffboardVertex;True;True;osm:node:5820135491:level:default level_offboard;False;;25.6582173;60.976415599999996;POINT (25.6582173 60.9764156)
350383;265448;osm:node:745744268;OsmVertex;True;True;osm:node:745744268;False;False;24.9610051;60.21709480000001;POINT (24.9610051 60.217094800000005)
350418;291655;osm:node:472593332;OsmVertex;True;True;osm:node:472593332;False;False;24.982899000000003;60.217600399999995;POINT (24.982899000000003 60.2176004)
350420;277036;osm:node:472593333;OsmVertex;True;True;osm:node:472593333;False;False;24.982801700000003;60.2176831;POINT (24.982801700000003 60.2176831)
350516;266154;osm:node:258038897;OsmVertex;True;True;osm:node:258038897;False;False;24.731072;60.212410999999996;POINT (24.731072 60.212411)
350767;464451;osm:node:4575237580:level:-3;OsmVertex;True;True;osm:node:4575237580:level:-3;False;False;24.9554042;60.303867200000006;POINT (24.9554042 60.303867200000006)
350769;269663;osm:node:4575237580:level:-2;OsmVertex;True;True;osm:node:4575237580:level:-2;False;False;24.9554042;60.303867200000006;POINT (24.9554042 60.303867200000006)
350805;329412;osm:node:764567987;OsmVertex;True;True;osm:node:764567987;False;False;24.964284000000006;60.205132299999995;POINT (24.964284000000003 60.2051323)
350929;329411;osm:node:764567937;OsmVertex;True;True;osm:node:764567937;False;False;24.9644718;60.205013199999996;POINT (24.964471800000002 60.2050132)
350957;329466;osm:node:764567959;OsmVertex;True;True;osm:node:764567959;False;False;24.964510500000006;60.2049912;POINT (24.964510500000003 60.2049912)
350958;448413;osm:node:764567958;OsmVertex;True;True;osm:node:764567958;False;False;24.964196899999997;60.206075899999995;POINT (24.9641969 60.2060759)
350974;146156;osm:node:764567948;OsmVertex;True;True;osm:node:764567948;False;False;24.9646009;60.20494300000001;POINT (24.9646009 60.20494300000001)
350976;448415;osm:node:764567947;OsmVertex;True;True;osm:node:764567947;False;False;24.964282;60.20615520000001;POINT (24.964282 60.206155200000005)
350983;47419;osm:node:742683162;OsmVertex;True;True;osm:node:742683162;False;False;24.9773336;60.20637660000001;POINT (24.9773336 60.206376600000006)
