edge_id;length;gvi;aqi;noises;mdB
157;16.3593;0.15;1.87;{65: 9.8156, 60: 6.54373};65.5
158;8.8257;0.22;1.95;{70: 8.82572};72.5
159;23.0002;0.19;1.87;{65: 14.37515, 60: 8.62509};65.6
160;7.6649;0.2;1.95;{65: 7.66489};67.5
161;7.6649;0.2;1.95;{65: 7.66489};67.5
162;49.6298;0.21;1.93;{65: 26.27462, 70: 23.35522};69.9
163;15.0087;0.08;1.0;{55: 9.00521, 60: 6.00347};59.5
164;5.058;0.31;1.89;{55: 5.058};57.5
165;15.8367;0.08;1.88;{60: 9.50205, 65: 6.3347};64.5
166;116.5752;0.34;1.85;{40: 11.96, 45: 104.61877};47.0
167;20.5918;0.21;1.99;{70: 17.65009, 75: 2.94168};73.2
168;5.2877;0.07;1.87;{45: 5.28772};47.5
169;21.7515;0.36;1.88;{50: 15.53682, 55: 6.21473};53.9
170;5.1697;0.07;1.87;{45: 5.16975};47.5
171;3.1991;0.07;1.87;{45: 3.19908};47.5
172;2.5743;0.19;1.92;{65: 2.57429};67.5
173;13.3885;0.34;1.87;{50: 13.38845};52.5
174;17.4821;0.24;2.08;{75: 17.48206};77.5
175;16.8707;0.24;2.05;{75: 16.87067};77.5
176;4.8696;0.17;1.88;{40: 4.87};42.5
177;31.1781;0.29;1.87;{50: 28.06032, 55: 3.11781};53.0
178;29.0613;0.36;1.87;{50: 23.249, 55: 5.81225};53.5
179;11.9272;0.12;1.87;{50: 11.92724};52.5
180;8.2547;0.07;1.89;{55: 8.25471};57.5
181;4.0349;0.39;1.88;{55: 4.03489};57.5
182;22.8541;0.53;1.86;{50: 22.85412};52.5
183;22.8541;0.53;1.86;{50: 22.85412};52.5
184;16.9896;0.3;1.91;{70: 16.98959};72.5
185;1.1038;0.09;1.88;{65: 1.10383};67.5
186;18.4249;0.31;1.89;{65: 18.42491};67.5
187;4.8066;0.2;1.0;{60: 4.80664};62.5
188;29.8125;0.18;1.99;{70: 29.81246};72.5
189;35.4014;0.43;1.85;{60: 20.65082, 55: 14.75059};60.4
190;5.1434;0.3;1.89;{50: 5.14343};52.5
191;7.8704;0.2;1.0;{65: 7.8704};67.5
192;19.0883;0.2;1.0;{65: 19.08833};67.5
193;21.108;0.2;1.91;{65: 21.10802};67.5
194;8.1817;0.18;1.94;{60: 8.18174};62.5
195;7.8704;0.2;1.0;{65: 7.8704};67.5
196;19.7974;0.19;1.94;{60: 19.79743};62.5
197;6.8709;0.36;1.94;{70: 6.87086};72.5
198;12.3791;0.2;1.95;{65: 12.37907};67.5
199;19.0883;0.2;1.0;{65: 19.08833};67.5
200;12.3791;0.2;1.95;{65: 12.37907};67.5
201;72.6823;0.16;1.89;{65: 72.68232};67.5
202;84.9745;0.24;1.91;{65: 84.97447};67.5
203;84.9745;0.24;1.91;{65: 84.97447};67.5
204;10.0834;0.21;1.9;{65: 10.08343};67.5
205;1.7284;0.19;1.9;{65: 1.72843};67.5
206;10.0834;0.21;1.9;{65: 10.08343};67.5
